Designator,Mid X,Mid Y,Rotation,Layer
C1,197.41,-116.61,90.0,top
C2,198.97,-123.95,270.0,top
C3,188.28,-114.29,90.0,top
C4,188.34,-118.99,270.0,top
C5,194.335113,-111.5,180.0,top
C6,188.16,-124.87,270.0,top
D1,142.32,-102.06,0.0,top
F1,182.1,-117.33,90.0,top
J1,207.06,-120.97,90.0,top
J2,203.515,-101.53,270.0,top
Q1,202.28,-106.9,0.0,top
R3,192.12,-103.67,0.0,top
R4,192.03,-106.88,0.0,top
R5,171.8,-108.46,0.0,top
R6,171.78,-111.72,180.0,top
SW1,168.51,-120.68,0.0,top
TH1,175.0475,-68.75,0.0,top
U1,148.92,-115.665,90.0,top
U2,193.27,-123.73,0.0,top
U3,192.44,-117.24,90.0,top
